Loja,Data,Ano,NF,Produto,Unidades
A,01/01/2020,2020,A0001,P106,2
A,02/01/2020,2020,A0002,P107,2
A,03/01/2020,2020,A0003,P107,3
A,04/01/2020,2020,A0004,P100,6
A,05/01/2020,2020,A0005,P101,6
A,06/01/2020,2020,A0006,P106,9
A,07/01/2020,2020,A0007,P107,5
A,08/01/2020,2020,A0008,P106,6
A,09/01/2020,2020,A0009,P104,9
A,10/01/2020,2020,A0010,P107,2
A,11/01/2020,2020,A0011,P106,6
A,12/01/2020,2020,A0012,P104,7
A,13/01/2020,2020,A0013,P107,2
A,14/01/2020,2020,A0014,P104,9
A,15/01/2020,2020,A0015,P101,5
A,16/01/2020,2020,A0016,P102,4
A,17/01/2020,2020,A0017,P105,8
A,18/01/2020,2020,A0018,P103,7
A,19/01/2020,2020,A0019,P104,6
A,20/01/2020,2020,A0020,P102,6
A,21/01/2020,2020,A0021,P102,6
A,22/01/2020,2020,A0022,P106,7
A,23/01/2020,2020,A0023,P106,10
A,24/01/2020,2020,A0024,P103,1
A,25/01/2020,2020,A0025,P100,7
A,26/01/2020,2020,A0026,P100,2
A,27/01/2020,2020,A0027,P105,8
A,28/01/2020,2020,A0028,P100,9
A,29/01/2020,2020,A0029,P105,3
A,30/01/2020,2020,A0030,P101,8
A,31/01/2020,2020,A0031,P103,10
A,01/02/2020,2020,A0032,P101,10
A,02/02/2020,2020,A0033,P100,3
A,03/02/2020,2020,A0034,P106,2
A,04/02/2020,2020,A0035,P107,7
A,05/02/2020,2020,A0036,P104,5
A,06/02/2020,2020,A0037,P105,7
A,07/02/2020,2020,A0038,P102,5
A,08/02/2020,2020,A0039,P105,7
A,09/02/2020,2020,A0040,P106,10
A,10/02/2020,2020,A0041,P103,1
A,11/02/2020,2020,A0042,P100,4
A,12/02/2020,2020,A0043,P102,1
A,13/02/2020,2020,A0044,P102,6
A,14/02/2020,2020,A0045,P106,3
A,15/02/2020,2020,A0046,P104,5
A,16/02/2020,2020,A0047,P103,8
A,17/02/2020,2020,A0048,P106,8
A,18/02/2020,2020,A0049,P107,10
A,19/02/2020,2020,A0050,P102,3
A,20/02/2020,2020,A0051,P100,4
A,21/02/2020,2020,A0052,P105,7
A,22/02/2020,2020,A0053,P101,5
A,23/02/2020,2020,A0054,P106,2
A,24/02/2020,2020,A0055,P105,5
A,25/02/2020,2020,A0056,P100,4
A,26/02/2020,2020,A0057,P100,1
A,27/02/2020,2020,A0058,P102,6
A,28/02/2020,2020,A0059,P104,2
A,29/02/2020,2020,A0060,P104,9
A,01/03/2020,2020,A0061,P104,6
A,02/03/2020,2020,A0062,P105,4
A,03/03/2020,2020,A0063,P105,5
A,04/03/2020,2020,A0064,P100,6
A,05/03/2020,2020,A0065,P101,4
A,06/03/2020,2020,A0066,P102,9
A,07/03/2020,2020,A0067,P105,7
A,08/03/2020,2020,A0068,P104,2
A,09/03/2020,2020,A0069,P105,2
A,10/03/2020,2020,A0070,P106,5
A,11/03/2020,2020,A0071,P105,6
A,12/03/2020,2020,A0072,P101,7
A,13/03/2020,2020,A0073,P106,4
A,14/03/2020,2020,A0074,P101,1
A,15/03/2020,2020,A0075,P105,5
A,16/03/2020,2020,A0076,P102,2
A,17/03/2020,2020,A0077,P102,4
A,18/03/2020,2020,A0078,P102,9
A,19/03/2020,2020,A0079,P100,7
A,20/03/2020,2020,A0080,P102,10
A,21/03/2020,2020,A0081,P107,4
A,22/03/2020,2020,A0082,P104,8
A,23/03/2020,2020,A0083,P103,9
A,24/03/2020,2020,A0084,P105,1
A,25/03/2020,2020,A0085,P104,1
A,26/03/2020,2020,A0086,P102,3
A,27/03/2020,2020,A0087,P100,3
A,28/03/2020,2020,A0088,P101,8
A,29/03/2020,2020,A0089,P105,5
A,30/03/2020,2020,A0090,P102,9
A,31/03/2020,2020,A0091,P103,4
A,01/04/2020,2020,A0092,P104,6
A,02/04/2020,2020,A0093,P105,1
A,03/04/2020,2020,A0094,P105,3
A,04/04/2020,2020,A0095,P103,8
A,05/04/2020,2020,A0096,P104,1
A,06/04/2020,2020,A0097,P106,7
A,07/04/2020,2020,A0098,P100,3
A,08/04/2020,2020,A0099,P102,6
A,09/04/2020,2020,A0100,P104,1
A,10/04/2020,2020,A0101,P105,8
A,11/04/2020,2020,A0102,P104,5
A,12/04/2020,2020,A0103,P101,9
A,13/04/2020,2020,A0104,P104,9
A,14/04/2020,2020,A0105,P106,8
A,15/04/2020,2020,A0106,P100,10
A,16/04/2020,2020,A0107,P105,7
A,17/04/2020,2020,A0108,P107,5
A,18/04/2020,2020,A0109,P100,6
A,19/04/2020,2020,A0110,P103,8
A,20/04/2020,2020,A0111,P106,7
A,21/04/2020,2020,A0112,P101,3
A,22/04/2020,2020,A0113,P104,8
A,23/04/2020,2020,A0114,P102,9
A,24/04/2020,2020,A0115,P107,3
A,25/04/2020,2020,A0116,P100,6
A,26/04/2020,2020,A0117,P107,6
A,27/04/2020,2020,A0118,P105,1
A,28/04/2020,2020,A0119,P103,8
A,29/04/2020,2020,A0120,P104,7
A,30/04/2020,2020,A0121,P100,1
A,01/05/2020,2020,A0122,P106,1
A,02/05/2020,2020,A0123,P106,4
A,03/05/2020,2020,A0124,P105,6
A,04/05/2020,2020,A0125,P106,7
A,05/05/2020,2020,A0126,P101,6
A,06/05/2020,2020,A0127,P100,2
A,07/05/2020,2020,A0128,P106,10
A,08/05/2020,2020,A0129,P105,3
A,09/05/2020,2020,A0130,P103,5
A,10/05/2020,2020,A0131,P107,10
A,11/05/2020,2020,A0132,P104,2
A,12/05/2020,2020,A0133,P102,7
A,13/05/2020,2020,A0134,P100,7
A,14/05/2020,2020,A0135,P102,2
A,15/05/2020,2020,A0136,P105,7
A,16/05/2020,2020,A0137,P101,5
A,17/05/2020,2020,A0138,P100,7
A,18/05/2020,2020,A0139,P107,5
A,19/05/2020,2020,A0140,P106,2
A,20/05/2020,2020,A0141,P107,1
A,21/05/2020,2020,A0142,P105,7
A,22/05/2020,2020,A0143,P104,3
A,23/05/2020,2020,A0144,P103,10
A,24/05/2020,2020,A0145,P101,10
A,25/05/2020,2020,A0146,P104,6
A,26/05/2020,2020,A0147,P103,1
A,27/05/2020,2020,A0148,P102,7
A,28/05/2020,2020,A0149,P103,3
A,29/05/2020,2020,A0150,P101,8
A,30/05/2020,2020,A0151,P102,9
A,31/05/2020,2020,A0152,P102,3
A,01/06/2020,2020,A0153,P101,4
A,02/06/2020,2020,A0154,P104,7
